title,url,year
Bradley Angell: Smart Dumpster: Employing Python to Report Real-Time Resource,https://www.youtube.com/watch?v=dKaPx4ivEcc,2014
Hannu Krosing: PostgreSQL is Web Scale (Really :) ),https://www.youtube.com/watch?v=gM516rN24zQ,2014
"Luke Miller: My big gay adventure. Making, releasing and selling a Python game",https://www.youtube.com/watch?v=Kdrp1Kt1dSw,2014
Niko Skrypnik: 2D/3D graphics with Python on mobile platforms,https://www.youtube.com/watch?v=Y6pLr11yf-4,2014
Brandon Rhodes: The Day of the EXE Is Upon Us,https://www.youtube.com/watch?v=wsczq6j3_bA,2014
"Catherine Devlin: See Docs Run. Run, Docs, Run!",https://www.youtube.com/watch?v=yc1CjhoQFNQ,2014
Van Lindberg  - Keynote 04,https://www.youtube.com/watch?v=uQU3ugtYKNo,2014
"Augie Fackler, Nathaniel Manista: Deliver Your Software In An Envelope",https://www.youtube.com/watch?v=mTj297sGzxw,2014
Closing adress,https://www.youtube.com/watch?v=uaTNyOBPcPs,2014
Lightning talks Session 04,https://www.youtube.com/watch?v=xcXheAWy7cU,2014
Guido Van Rossum - Keynote 05,https://www.youtube.com/watch?v=0Ef9GudbxXY,2014
Lightning talks Session 05,https://www.youtube.com/watch?v=NSLvERZQSok,2014
Michael Becker: Realtime predictive analytics using scikit-learn & RabbitMQ,https://www.youtube.com/watch?v=WPyNdHygBD0,2014
"Lewis Franklin: Distributed Computing Is Hard, Lets Go Shopping",https://www.youtube.com/watch?v=1CE6pWSDN1Q,2014
Laurens Van Houtven: Twisted Mixing,https://www.youtube.com/watch?v=A_NnHC2LcaE,2014
"Preston Holmes: Blending art, technology, and light - interactive Python",https://www.youtube.com/watch?v=qdATFvkqrvY,2014
Stacey Sern: An Introduction to Twisted,https://www.youtube.com/watch?v=zVAon51dhIM,2014
"Guillaume Ardaud: Cache me if you can: memcached, caching patterns and best practices",https://www.youtube.com/watch?v=R8Xmeynf1T4,2014
"Alex Gaynor: Pickles are for Delis, not Software",https://www.youtube.com/watch?v=7KnfGDajDQw,2014
Ned Jackson Lovely: Enough Machine Learning to Make Hacker News Readable Again,https://www.youtube.com/watch?v=O7IezJT9uSI,2014
Lynn Root: For Lack of a Better Name(server): DNS Explained,https://www.youtube.com/watch?v=Xdd7c8t6ySA,2014
Ashwini Oruganti: Kneel And Disconnect: Getting The Fastest Connection Out Of A Host,https://www.youtube.com/watch?v=4yqA0puQsEo,2014
Melanie Warrick: How to Get Started with Machine Learning,https://www.youtube.com/watch?v=uBorfxosVYs,2014
Lightning talks Session 01,https://www.youtube.com/watch?v=RLDXh2UiGq8,2014
Michael DeHaan: Ansible - Python-Powered Radically Simple IT Automation,https://www.youtube.com/watch?v=Qi0AhK7PMCI,2014
Fernando Perez: IPython in depth: high productivity interactive and parallel python,https://www.youtube.com/watch?v=XFw1JVXKJss,2014
Opening statements,https://www.youtube.com/watch?v=L_LLYTm-QnM,2014
Jessica McKellar: Building and breaking a Python sandbox,https://www.youtube.com/watch?v=sL_syMmRkoU,2014
Noah Kantrowitz: Application Deployment State of the Onion,https://www.youtube.com/watch?v=SW1OXGl3Mck,2014
John Perry Barlow - Keynote,https://www.youtube.com/watch?v=QGVzb5YXmeo,2014
"Travis Fischer, Esther Nam: Character encoding and Unicode in Python",https://www.youtube.com/watch?v=Mx70n1dL534,2014
Jeff Schenck: Straightening Out AngularJS with Python,https://www.youtube.com/watch?v=WQGQPnTDNvk,2014
"A. Jesse Jiryu Davis: What Is Async, How Does It Work, And When Should I Use It?",https://www.youtube.com/watch?v=9WV7juNmyE8,2014
Colton Myers: Decorators: A Powerful Weapon in your Python Arsenal,https://www.youtube.com/watch?v=9oyr0mocZTg,2014
Tres Seaver: By Your Bootstraps: Porting Your Application to Python3,https://www.youtube.com/watch?v=nx0sXSeJbmI,2014
Peter Baumgartner: Getting Started with SaltStack,https://www.youtube.com/watch?v=mXjLhFUruzA,2014
Brett Slatkin: Fan-in and Fan-out: The crucial components of concurrency,https://www.youtube.com/watch?v=CWmq-jtkemY,2014
Katharine Jarmul: Python Scraping Showdown: A performance and accuracy review,https://www.youtube.com/watch?v=dWlhrL1l3QU,2014
Justin Bronn: Puppet Modules: Apps for Ops,https://www.youtube.com/watch?v=RrUf0q-tZiE,2014
Luke Sneeringer: Introduction to Regular Expressions,https://www.youtube.com/watch?v=jKfkLVDAwRQ,2014
Jessica McKellar: Contribute with me! Getting started with open source development,https://www.youtube.com/watch?v=k17GqN9dT3Q,2014
Narahari Allamraju: Distributed task processing using Celery,https://www.youtube.com/watch?v=3mB5uWY3FT4,2014
Miguel Grinberg: Flask by Example,https://www.youtube.com/watch?v=FGrIyBDQLPg,2014
Christophe Pettus: PostgreSQL Proficiency for Python People,https://www.youtube.com/watch?v=0uCxLCmzaG4,2014
"Harry Percival: TDD for web applications, from scratch",https://www.youtube.com/watch?v=X9474CgJleg,2014
Holger Krekel: Improving automated testing with py.test,https://www.youtube.com/watch?v=AiThU6JQbE8,2014
Katharine Jarmul: Introduction to Web (and data!) Scraping with Python,https://www.youtube.com/watch?v=p1iX0uxM1w8,2014
Hannah Aizenman: Beyond Defaults: Creating Polished Visualizations Using Matplotlib,https://www.youtube.com/watch?v=Eu8nLAIRuwM,2014
"D. Maniloff, C. Fricke, Z. Howard: Hands-on with Pydata: how to build a minimal",https://www.youtube.com/watch?v=MFWAAPReG1M,2014
